Country,Short Names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
KOR,meat_consumption_2,0.0,552.615,748.458,762.231,794.642,835.256,900.375,895.847,890.936,1030.494,969.216,1013.069,1046.943,1291.64,1198.86,1177.305,1423.507,1505.964,1524.596,1484.984,1544.08,1492.185,1551.449,1633.671,1665.412,1819.203,1901.912,1934.821,2007.746,2050.906,2074.759,2081.613,2085.913,2090.724,2095.633,2100.745,2105.772,2111.074,2115.925,2121.252
MEX,meat_consumption_2,789.761,865.575,874.326,867.531,948.929,945.392,927.596,970.427,1041.898,1083.245,1170.036,1210.737,1264.078,1320.108,1371.296,1369.725,1416.922,1440.425,1447.896,1598.238,1607.459,1532.55,1679.2,1776.725,1810.469,1957.032,2030.253,2128.381,2273.038,2355.323,2383.541,2420.584,2451.052,2481.401,2512.584,2543.809,2574.55,2605.359,2635.276,2666.344
MYS,meat_consumption_2,232.63,237.369,255.681,267.045,287.603,286.978,280.795,283.419,267.262,168.989,173.054,202.162,211.126,194.92,203.817,212.07,219.7,202.167,198.494,207.124,246.326,227.143,225.062,225.03,229.156,242.403,219.633,218.275,223.069,221.1,221.784,223.525,224.519,225.556,226.721,227.9,229.031,230.226,231.327,232.536
NGA,meat_consumption_2,106.916,106.809,112.51,117.006,121.504,133.726,138.226,142.726,147.226,156.226,157.552,165.422,192.524,179.118,186.165,193.455,201.461,209.25,217.602,226.318,234.132,243.449,249.231,254.65,252.732,266.494,274.937,278.145,281.007,280.1,285.072,293.42,298.115,305.594,310.877,317.979,323.652,330.398,336.701,343.493
NOR,meat_consumption_2,83.792,86.252,88.305,92.374,95.663,100.768,107.141,101.739,107.053,99.821,103.936,110.08,105.393,109.385,113.505,117.649,116.148,125.926,124.638,123.848,127.891,131.952,131.25,129.326,131.882,139.767,142.106,141.654,143.537,145.023,146.666,147.724,148.619,149.69,150.65,151.694,152.678,153.714,154.685,155.71
NZL,meat_consumption_2,47.8,46.629,49.262,52.98,60.636,58.539,59.61,57.056,60.675,65.535,66.207,62.869,65.844,71.076,77.669,79.73,85.928,87.282,88.121,88.201,82.973,90.515,92.282,92.07,95.83,105.226,104.242,111.971,115.135,116.128,117.853,119.124,120.264,121.449,122.632,123.833,125.022,126.212,127.373,128.572
PAK,meat_consumption_2,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.001,0.003,0.003,0.0,0.0,0.0,0.014,0.013,0.192,0.192,0.022,0.051,0.051,0.051,0.021,0.021,0.021,0.021,0.011,0.028,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098
PER,meat_consumption_2,66.523,68.876,73.096,75.651,78.106,80.504,83.494,86.98,71.25,66.462,91.977,93.325,92.823,93.163,99.369,105.357,110.223,116.067,116.883,116.864,120.157,121.779,127.866,134.132,143.217,153.408,159.444,169.196,172.412,174.396,172.461,178.704,182.373,187.062,191.88,196.739,203.123,206.015,210.85,215.906
PHL,meat_consumption_2,684.805,701.7,658.555,731.053,757.381,814.234,1042.95,1097.913,1144.613,1212.756,1249.843,1298.557,1371.061,1405.071,1387.795,1436.705,1583.794,1637.609,1645.627,1680.532,1726.481,1727.36,1740.165,1791.477,1801.821,1872.125,1967.761,1973.457,2043.518,2109.7,2095.341,2128.78,2167.822,2211.55,2252.81,2292.861,2334.908,2375.405,2416.539,2459.411
PRY,meat_consumption_2,118.133,120.545,126.485,126.791,127.824,130.159,116.122,118.068,119.445,120.668,157.318,143.545,150.61,84.275,155.949,150.955,154.388,147.847,143.466,144.416,161.47,166.165,169.407,176.127,180.381,184.429,188.828,190.64,191.336,193.0,194.585,197.851,200.553,203.58,206.372,209.083,211.784,214.444,217.044,219.683
RUS,meat_consumption_2,0.0,0.0,0.0,2792.227,2514.14,2378.134,2216.252,2239.944,2216.9,2018.0,1791.508,1913.071,2226.72,2109.241,2171.142,2381.957,2574.325,3045.058,3329.991,3202.871,3087.74,3411.927,3363.74,3559.835,3334.421,3378.912,3572.59,3738.69,3727.922,3849.082,3875.48,3912.982,3921.593,3937.891,3954.784,3971.868,3989.693,4009.136,4025.114,4045.359
SAU,meat_consumption_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.776,2.6,2.274,2.49,4.741,4.147,5.409,0.023,0.052,6.21,8.605,9.196,4.631,7.9,7.993,6.983,20.913,20.908,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9
THA,meat_consumption_2,336.01,400.503,432.791,457.627,487.9,486.05,509.64,530.495,463.712,450.025,685.529,687.819,770.875,852.624,863.707,896.29,975.404,990.664,879.579,855.298,879.673,859.597,923.645,941.23,923.449,913.002,895.96,882.611,878.045,876.4,878.56,888.25,894.679,899.256,904.14,906.962,909.655,910.317,911.889,913.671
TUR,meat_consumption_2,0.403,0.375,0.3,0.214,0.341,0.341,0.11,0.086,0.13,0.112,0.197,0.038,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UKR,meat_consumption_2,1576.3,1421.1,1167.852,1008.413,860.378,805.202,787.519,700.685,676.503,638.704,746.022,592.846,602.43,626.32,599.267,543.8,585.207,710.235,799.512,687.601,765.731,802.702,934.266,934.748,771.37,736.468,748.85,737.639,733.994,725.661,718.474,724.711,731.344,739.474,745.896,752.855,759.382,765.761,771.912,778.311
USA,meat_consumption_2,7271.306,7438.693,7927.068,7901.17,8087.108,8059.439,7618.093,7629.886,8304.833,8597.4,8456.333,8387.84,8684.944,8815.578,8816.304,8669.975,8640.945,8966.171,8814.218,8998.38,8656.821,8332.955,8408.706,8684.036,8650.017,9340.839,9476.463,9541.327,9748.165,10126.008,10177.303,10191.614,10212.93,10240.507,10351.712,10440.556,10513.526,10544.739,10582.859,10626.998
