area,short names,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BLZ,employment_agri_male,32.09,32.07,31.9,30.67,35.58,38.26,39.37,33.14,36.35,34.84,33.51,32.2,30.58,29.15,27.69,27.57,27.55,27.31,27.17,26.97,26.82,26.57,26.34,25.85,25.9,26.78,24.62,24.23,24.07,,
BOL,employment_agri_male,41.92,41.87,41.71,41.52,41.25,41.04,41.0,40.5,39.94,40.18,45.62,44.79,35.58,35.57,38.29,39.63,34.56,31.12,29.59,29.54,29.34,28.17,29.26,30.48,27.54,30.05,30.4,31.04,30.73,,
BRA,employment_agri_male,24.73,24.83,24.43,23.96,23.21,22.24,21.82,20.94,21.58,20.76,20.05,20.0,20.51,21.28,20.48,19.43,18.51,17.63,17.56,16.59,15.82,15.42,15.08,14.02,13.95,14.05,13.28,13.06,12.81,,
BRB,employment_agri_male,6.53,8.0,6.51,6.19,5.62,6.24,5.67,5.17,5.2,4.99,4.81,4.92,5.48,4.28,4.39,4.5,3.52,3.11,3.83,3.77,4.28,3.46,3.48,4.08,4.22,3.85,3.78,3.74,3.69,,
BRN,employment_agri_male,2.22,2.08,1.95,1.84,1.71,1.63,1.56,1.46,1.41,1.35,1.26,1.2,1.14,1.09,1.04,0.98,0.92,0.88,0.82,0.78,0.74,0.7,0.66,0.63,0.95,1.41,2.03,1.44,2.85,,
BTN,employment_agri_male,63.94,63.67,63.45,63.13,62.75,62.25,61.85,61.45,60.84,60.07,59.25,58.32,57.7,57.09,56.36,55.87,55.82,56.02,55.62,54.87,54.21,51.21,49.49,50.0,52.29,51.3,50.68,50.49,50.21,,
BWA,employment_agri_male,19.52,19.33,19.32,19.27,18.88,18.5,22.1,26.39,24.25,22.09,24.21,26.06,28.06,28.48,28.73,28.81,28.81,28.93,29.13,28.56,28.03,27.6,26.71,26.14,25.94,25.37,24.92,24.39,23.94,,
CAF,employment_agri_male,71.25,71.47,71.54,71.53,71.47,71.85,71.88,71.81,71.54,71.71,71.62,71.49,71.92,71.58,71.44,71.08,70.76,70.53,70.0,69.66,69.42,69.01,69.62,69.32,68.99,68.6,68.14,67.79,67.54,,
CAN,employment_agri_male,4.39,4.4,4.39,4.21,4.0,3.95,3.81,3.77,3.53,3.24,2.86,2.77,2.79,2.67,2.79,2.75,2.62,2.59,2.65,2.44,2.41,2.33,2.4,2.31,2.21,2.12,2.02,1.99,1.97,,
CHE,employment_agri_male,4.54,4.35,4.74,4.65,4.97,5.19,5.3,5.26,5.67,5.51,5.12,5.06,5.04,4.73,4.78,4.73,5.0,4.37,3.94,4.14,4.07,4.02,4.18,4.33,3.93,3.8,3.56,3.44,3.12,,
CHL,employment_agri_male,25.05,23.61,21.55,21.38,20.79,20.31,19.4,19.47,19.44,19.52,18.19,18.0,18.21,17.67,17.26,16.83,16.2,15.49,14.83,14.12,13.69,13.34,12.74,12.82,12.75,12.7,12.04,12.12,12.04,,
CHN,employment_agri_male,63.69,62.35,60.23,58.31,56.38,54.78,54.01,53.75,53.76,53.33,53.1,52.84,51.76,49.92,47.73,45.48,43.64,42.42,40.84,39.35,37.49,36.29,34.21,32.36,31.41,30.48,29.65,28.66,27.94,,
CIV,employment_agri_male,52.69,52.76,52.84,52.87,52.62,52.3,52.09,51.86,51.76,51.93,51.99,52.13,52.22,52.01,51.79,51.6,51.35,51.05,50.64,50.42,50.77,49.64,48.55,48.4,48.32,48.37,48.32,47.41,46.62,,
CMR,employment_agri_male,63.88,64.13,64.57,64.6,64.53,64.38,64.12,63.83,63.46,63.14,62.9,61.26,59.73,58.07,56.87,55.53,54.07,52.57,51.2,49.68,47.98,46.21,44.36,42.64,41.94,41.33,40.79,40.25,39.79,,
COD,employment_agri_male,63.44,63.99,64.5,64.93,65.03,64.4,65.3,65.43,65.96,65.48,65.65,65.15,64.82,64.26,63.72,63.4,63.0,62.68,62.53,61.93,61.43,60.92,60.21,59.41,58.82,58.64,58.31,57.77,57.43,,
COG,employment_agri_male,40.44,40.43,40.54,40.88,40.81,40.67,40.79,40.66,40.94,40.38,40.11,39.74,39.72,39.43,38.76,38.24,38.47,38.01,37.41,36.55,36.17,35.75,35.4,34.76,34.53,34.8,34.99,34.87,34.95,,
COL,employment_agri_male,33.88,33.67,33.49,33.08,33.02,32.66,32.32,32.21,32.4,32.42,32.29,31.92,31.43,30.49,29.84,28.81,27.82,27.31,26.89,26.21,25.3,24.4,23.48,22.91,22.38,22.36,22.88,23.07,22.31,,
COM,employment_agri_male,53.86,53.73,53.68,53.85,53.79,53.8,53.6,53.45,53.23,52.76,52.37,51.91,51.46,50.88,49.82,48.75,47.34,46.16,45.12,43.97,42.77,41.57,40.34,39.1,38.52,37.93,37.42,36.81,36.35,,
CPV,employment_agri_male,36.5,35.96,35.47,34.62,33.77,32.95,32.05,30.99,29.93,28.65,28.03,27.19,26.42,25.29,24.38,23.41,22.19,21.39,21.08,20.63,20.12,19.81,19.51,19.23,18.93,18.43,17.99,16.07,14.7,,
CRI,employment_agri_male,23.51,23.28,23.24,22.95,23.4,23.13,23.01,23.05,22.53,22.1,21.79,22.01,21.01,20.35,20.86,19.27,17.82,17.15,16.75,16.0,15.3,14.93,14.34,15.67,17.36,16.94,17.35,17.27,16.72,,
CUB,employment_agri_male,31.01,31.49,32.24,31.74,31.28,31.19,31.23,32.74,33.89,33.97,32.74,31.48,30.24,28.94,27.6,26.25,25.03,24.78,25.23,24.94,26.49,26.23,25.39,25.63,25.34,24.94,24.52,24.1,23.73,,
CYP,employment_agri_male,11.68,11.51,11.47,11.25,11.03,9.87,8.73,7.7,6.75,5.93,5.47,6.0,6.14,5.89,5.65,5.27,5.91,5.44,4.71,4.87,5.05,3.8,4.3,6.49,5.67,5.35,3.77,3.13,3.36,,
CZE,employment_agri_male,9.31,9.27,9.01,7.93,7.57,7.28,6.95,6.64,6.41,6.32,6.03,6.01,5.52,5.42,4.86,4.51,4.38,3.83,3.79,3.98,3.83,3.9,3.77,3.6,3.93,3.83,3.61,3.63,3.41,,
DEU,employment_agri_male,3.55,3.48,3.45,3.37,3.27,3.19,3.23,3.12,3.26,3.04,3.05,2.91,2.91,2.89,2.89,2.81,2.79,2.17,2.05,2.03,2.04,1.96,1.82,1.79,1.78,1.67,1.62,1.6,1.53,,
DJI,employment_agri_male,39.13,39.1,39.3,39.29,39.42,39.65,39.78,39.85,39.67,39.59,39.33,38.87,38.37,37.88,37.33,36.6,35.84,35.0,34.53,33.84,32.89,32.16,31.43,30.52,29.59,28.73,27.97,27.02,26.14,,
DMA,employment_agri_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,employment_agri_male,7.68,7.46,7.36,7.09,5.89,5.33,5.43,5.32,4.9,5.14,5.13,4.58,4.61,4.49,4.55,4.51,4.19,4.0,4.15,4.01,3.77,4.05,4.03,3.92,3.81,3.6,3.16,3.3,3.22,,
DOM,employment_agri_male,29.11,28.91,28.72,28.19,27.7,27.15,28.1,23.96,24.53,21.94,20.5,22.08,20.69,20.32,19.34,19.78,18.59,18.15,19.02,18.17,17.89,17.08,16.64,16.58,14.72,13.72,14.82,14.29,13.49,,
DZA,employment_agri_male,26.46,26.32,26.13,25.9,25.64,25.36,24.97,24.65,24.32,23.71,23.08,23.22,23.36,21.81,20.18,18.71,17.24,15.91,14.62,13.36,12.3,12.29,12.16,11.95,11.78,11.56,11.36,11.05,10.76,,
ECU,employment_agri_male,33.36,33.33,33.37,33.15,33.06,33.02,32.71,32.5,33.09,33.07,32.33,33.01,33.81,33.23,33.48,32.5,32.16,31.96,32.67,32.21,32.23,32.36,30.36,28.43,28.53,29.06,29.71,30.67,31.52,,
EGY,employment_agri_male,35.37,34.72,32.46,32.15,31.94,30.54,29.25,28.56,27.95,27.43,27.75,27.51,27.83,28.59,27.41,28.43,27.79,28.24,25.96,24.72,25.76,24.48,24.13,23.45,22.17,22.21,21.99,21.66,20.46,,
ERI,employment_agri_male,65.92,65.58,64.86,64.23,63.69,62.89,62.16,62.16,61.85,61.43,61.15,60.76,61.26,61.31,62.13,62.43,62.37,62.35,61.92,61.96,61.18,60.85,61.25,59.95,60.59,59.88,60.19,59.19,58.66,,
ESP,employment_agri_male,11.0,10.77,10.64,10.54,9.95,9.54,9.23,8.97,8.39,7.79,7.75,7.23,6.83,6.66,6.49,5.86,5.62,5.13,5.43,5.59,5.49,5.72,6.02,5.91,5.79,5.95,6.08,5.89,5.68,,
EST,employment_agri_male,23.97,22.5,20.06,17.63,12.45,12.09,12.25,11.92,10.55,8.27,9.54,9.02,8.57,7.41,7.18,6.89,6.42,5.32,5.54,5.68,6.34,6.43,6.2,5.39,5.23,5.7,5.04,4.83,4.7,,
ETH,employment_agri_male,84.15,84.41,84.2,84.05,83.99,83.78,83.84,83.83,83.65,83.44,83.07,82.82,82.76,82.36,82.07,81.5,80.84,80.36,79.8,78.92,78.23,77.89,77.29,76.49,75.73,75.06,74.41,73.78,73.44,,
EUU,employment_agri_male,10.698,10.665,10.588,10.579,10.243,9.999,10.086,9.837,9.592,9.333,9.02,8.508,8.408,7.847,7.64,7.329,6.939,6.33,6.405,6.543,6.357,6.435,6.37,6.251,6.081,5.853,5.698,5.498,5.347,,
FIN,employment_agri_male,10.62,10.62,10.55,10.28,10.02,9.9,9.98,9.34,8.18,8.26,7.69,7.19,6.99,6.84,6.59,6.39,6.34,6.2,6.33,6.01,5.93,5.89,5.9,6.09,6.14,5.52,5.26,5.23,5.38,,
FJI,employment_agri_male,37.87,37.48,37.21,37.0,36.56,36.16,35.68,35.29,35.15,34.33,33.36,32.97,32.48,31.82,31.28,30.96,30.89,30.1,29.64,28.96,28.61,28.05,27.26,25.83,24.72,23.83,23.08,22.52,22.17,,
FRA,employment_agri_male,6.83,6.52,6.22,6.15,5.8,5.84,5.64,5.46,5.25,5.18,5.07,5.23,5.58,4.9,4.79,5.02,4.59,3.53,3.86,3.92,3.82,3.88,4.19,3.93,3.73,4.0,3.55,3.53,3.5,,
FSM,employment_agri_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,employment_agri_male,30.86,30.87,30.53,30.27,29.69,29.19,28.75,28.35,28.55,28.33,28.04,27.82,27.51,27.15,26.68,26.52,26.02,25.83,25.77,25.11,24.39,23.8,23.24,22.77,22.39,22.12,21.84,21.46,20.99,,
GBR,employment_agri_male,2.93,2.89,2.85,2.85,2.73,2.6,2.52,2.38,2.22,2.17,1.99,1.98,1.81,1.85,1.93,1.93,1.89,1.38,1.6,1.75,1.71,1.62,1.46,1.73,1.57,1.56,1.62,1.47,1.46,,
GEO,employment_agri_male,45.04,49.0,52.05,51.93,49.42,47.54,46.4,46.32,50.48,47.28,52.79,52.4,53.19,51.75,51.77,53.46,50.73,48.74,46.98,46.39,45.6,43.92,44.69,43.45,41.34,42.18,41.02,36.9,36.52,,
GHA,employment_agri_male,61.66,61.53,61.32,61.2,61.0,60.76,60.48,60.17,59.87,59.84,59.76,59.63,59.42,59.18,58.89,58.7,57.76,56.37,55.31,53.88,51.88,50.29,48.78,45.57,41.88,40.46,39.06,37.65,36.38,,
GIN,employment_agri_male,67.82,67.71,67.57,67.65,67.65,67.49,67.27,67.06,66.82,66.59,66.34,66.0,65.09,64.98,64.66,64.56,64.23,63.83,63.81,63.53,62.98,62.59,62.26,61.88,61.59,60.8,60.13,59.67,59.24,,
GMB,employment_agri_male,29.28,29.27,29.27,29.28,29.29,29.02,28.84,28.55,28.38,28.05,27.69,27.65,27.43,27.12,27.12,26.67,26.29,26.25,25.99,25.79,25.57,25.24,24.94,24.68,24.35,24.1,23.7,23.18,22.56,,
GNB,employment_agri_male,61.8,61.86,61.95,61.84,61.68,61.48,60.56,61.26,61.41,61.19,60.87,61.2,61.1,60.93,60.8,60.47,60.29,60.22,59.81,59.58,59.05,59.16,58.68,58.37,58.41,57.9,57.68,57.18,57.14,,
GNQ,employment_agri_male,57.81,56.89,56.3,55.62,54.8,52.69,50.35,48.84,47.22,45.87,43.24,41.32,39.72,37.81,36.33,35.47,34.31,33.21,33.2,33.62,33.48,33.43,34.01,34.41,35.36,36.24,36.84,37.14,37.79,,
GRC,employment_agri_male,19.76,19.4,19.23,18.72,18.6,18.34,18.06,16.49,16.11,16.12,14.99,14.22,14.12,11.46,11.32,11.01,10.82,10.84,11.59,12.26,12.15,13.04,13.86,13.98,13.28,12.82,12.51,12.64,12.31,,
GRD,employment_agri_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,employment_agri_male,49.82,49.7,49.57,49.38,49.23,49.24,48.89,48.5,49.8,51.1,48.01,45.82,43.32,48.09,45.53,42.77,42.69,42.93,43.69,43.92,43.25,43.4,41.96,42.07,42.58,39.56,42.29,42.32,41.77,,
GUY,employment_agri_male,38.27,37.83,37.4,36.65,36.1,34.9,33.61,32.92,31.67,30.59,29.46,28.36,27.97,27.67,27.9,28.19,27.28,26.86,26.29,25.79,25.06,24.43,23.46,22.71,22.18,21.61,21.14,20.58,20.08,,
HND,employment_agri_male,54.11,54.91,54.03,53.55,53.45,54.68,53.22,49.11,49.36,50.79,52.4,54.02,51.99,48.81,45.7,47.55,45.77,46.67,48.14,49.47,48.39,49.96,47.46,39.69,40.51,38.28,44.3,42.75,42.27,,
HRV,employment_agri_male,21.02,21.35,21.34,19.82,19.25,18.88,16.79,16.41,16.25,16.28,16.08,15.83,16.28,16.02,16.0,13.67,11.4,11.88,12.62,13.22,13.94,12.32,11.56,10.82,10.77,9.35,8.54,7.24,7.71,,
HTI,employment_agri_male,52.96,53.44,53.42,54.04,52.91,51.79,51.72,51.2,51.33,51.28,51.03,50.55,50.04,49.95,49.34,49.01,48.55,48.18,47.72,48.08,46.67,45.47,44.89,44.25,43.69,43.42,43.15,42.64,42.5,,
HUN,employment_agri_male,14.72,14.34,11.91,11.54,10.82,11.34,10.6,10.15,9.64,9.02,8.44,8.11,7.64,7.41,6.72,6.54,6.49,5.98,6.31,6.48,6.8,7.02,6.62,6.4,6.8,6.89,6.86,6.61,6.29,,
IDN,employment_agri_male,54.64,54.25,51.34,46.66,44.03,43.15,42.61,44.47,44.56,44.39,43.33,43.75,45.73,42.63,43.79,42.57,41.18,40.94,40.77,39.57,37.44,36.34,35.63,34.84,33.31,32.92,32.04,31.0,29.88,,
IND,employment_agri_male,59.0,58.62,58.24,57.66,57.14,56.64,56.36,55.89,55.11,54.56,53.99,53.47,52.55,51.44,50.59,49.79,48.94,48.57,47.72,46.92,45.21,43.52,43.09,42.54,41.97,41.32,40.76,40.24,39.56,,
IRL,employment_agri_male,19.01,18.77,18.47,17.88,17.13,15.94,15.68,13.35,12.85,11.91,10.72,10.83,9.87,9.93,9.3,8.94,8.41,8.15,8.87,9.09,9.28,9.41,9.27,8.57,8.48,8.47,8.01,7.57,7.18,,
IRN,employment_agri_male,25.67,25.45,25.27,25.07,24.85,24.34,24.55,24.74,24.66,24.49,24.27,23.91,23.47,23.1,22.71,21.43,20.55,19.35,18.83,17.47,17.22,17.3,17.38,17.23,17.15,17.17,16.76,17.25,17.06,,
IRQ,employment_agri_male,32.44,32.34,32.18,32.01,31.77,31.42,30.89,30.43,29.77,29.26,28.87,28.6,28.2,27.62,27.0,26.3,25.71,25.0,24.51,23.78,23.19,22.41,21.82,21.36,20.92,20.22,19.67,19.21,18.66,,
ISL,employment_agri_male,14.37,15.44,14.41,13.3,14.15,14.34,13.23,11.8,12.57,12.64,11.48,10.86,10.56,9.57,9.6,9.33,8.89,6.66,7.31,8.61,8.73,8.66,6.27,6.83,6.49,5.42,5.37,6.54,6.42,,
ISR,employment_agri_male,4.48,4.49,4.61,4.33,4.13,3.93,3.73,3.54,3.37,3.2,3.02,2.86,2.71,2.55,2.41,2.27,2.14,2.01,1.91,1.79,1.68,1.58,1.74,1.57,1.39,1.43,1.45,1.39,1.32,,
ITA,employment_agri_male,8.01,7.72,7.04,6.94,6.68,6.42,6.24,6.16,5.94,5.74,5.71,5.53,5.34,4.76,4.8,4.89,4.56,4.28,4.38,4.49,4.4,4.48,4.44,4.53,4.69,4.87,4.82,4.74,4.99,,
JAM,employment_agri_male,36.67,36.03,34.26,33.02,31.92,30.99,29.19,28.83,28.62,28.78,28.52,27.35,28.6,25.5,25.12,25.59,25.65,25.44,25.34,25.04,24.75,25.88,25.79,26.25,25.13,22.78,22.76,22.09,20.91,,
JOR,employment_agri_male,5.01,4.96,4.9,4.84,4.77,4.71,4.62,4.53,4.42,4.31,4.18,4.06,4.33,4.52,4.36,4.23,4.14,4.01,3.89,3.8,3.7,3.59,3.46,3.35,3.24,3.14,3.03,2.92,2.81,,
JPN,employment_agri_male,6.02,5.83,5.42,5.29,5.17,5.02,4.92,4.84,4.85,4.78,4.66,4.56,4.51,4.47,4.39,4.35,4.3,4.26,4.29,4.19,4.15,4.1,4.01,3.98,3.94,3.85,3.79,3.87,3.72,,
KAZ,employment_agri_male,38.4,38.12,38.25,38.87,38.9,38.97,38.86,38.61,38.68,37.68,36.76,36.23,36.41,34.93,33.42,32.83,32.63,31.11,29.62,29.11,26.63,26.04,25.09,21.8,18.87,18.45,17.87,17.16,16.33,,
KEN,employment_agri_male,34.74,34.89,35.04,35.07,35.07,35.18,35.7,36.03,36.54,40.01,43.13,46.47,49.48,52.11,54.8,54.72,54.54,54.98,55.01,54.41,53.92,53.54,53.01,52.5,51.94,51.33,50.83,50.14,49.55,,
KGZ,employment_agri_male,34.42,37.73,38.98,42.26,47.32,46.97,48.0,49.07,51.76,51.76,51.49,49.43,43.43,39.07,39.34,36.93,34.87,34.11,33.12,32.58,31.42,30.44,30.85,29.61,27.52,26.11,23.51,20.48,19.62,,
KHM,employment_agri_male,75.73,75.39,75.43,77.24,76.71,76.17,75.88,75.52,73.98,72.08,69.31,67.46,65.96,63.6,61.32,59.01,56.77,57.31,57.98,56.9,55.82,52.1,48.2,44.75,40.46,34.88,36.33,34.43,32.62,,
KIR,employment_agri_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNA,employment_agri_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,employment_agri_male,13.04,12.27,11.73,10.95,10.27,9.78,9.41,10.51,10.06,9.47,9.02,8.41,7.9,7.63,7.34,7.07,6.71,6.64,6.65,6.41,6.11,6.0,6.65,5.55,5.14,4.91,5.04,5.18,5.37,,
KWT,employment_agri_male,3.04,2.97,2.87,2.78,2.69,2.77,2.86,2.98,3.08,3.17,3.25,3.33,3.38,3.44,3.52,3.47,3.41,3.33,3.33,3.28,3.2,3.11,3.02,2.92,2.82,2.69,2.57,2.45,2.34,,
LAO,employment_agri_male,83.0,82.84,82.51,82.03,81.43,80.68,80.29,79.54,78.91,78.28,77.54,76.91,76.07,75.14,74.15,73.58,72.23,71.22,70.26,69.32,68.15,66.8,65.57,64.63,63.49,62.66,61.49,60.19,59.42,,
LBN,employment_agri_male,21.74,21.45,21.18,20.97,20.72,20.43,20.23,19.85,19.61,19.32,18.9,18.54,18.16,17.69,17.27,16.91,16.33,15.74,15.12,14.68,14.34,13.99,13.62,13.32,13.03,12.67,12.35,12.05,11.88,,
LBR,employment_agri_male,50.32,51.01,51.81,52.62,54.24,54.12,52.42,51.79,51.04,50.0,49.88,49.52,50.56,49.88,49.23,48.63,48.18,47.85,47.59,47.18,46.56,45.93,45.22,45.02,44.87,45.22,44.83,44.46,44.72,,
LBY,employment_agri_male,28.35,28.23,28.05,27.79,27.8,27.45,27.21,27.01,26.44,25.75,25.32,24.67,23.77,23.1,22.16,21.47,20.81,20.13,19.7,19.2,19.35,19.25,19.29,19.33,19.15,18.78,17.91,17.15,16.65,,
LCA,employment_agri_male,30.26,29.89,29.82,33.76,28.87,29.82,25.19,27.77,26.17,25.98,25.81,25.63,24.89,24.23,22.78,21.82,21.42,20.83,20.49,19.88,18.98,18.26,17.77,16.93,16.32,15.55,15.0,16.25,15.63,,
LIE,employment_agri_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,employment_agri_male,42.33,43.84,39.25,42.75,38.4,34.66,36.05,39.12,38.83,37.98,37.98,37.37,36.66,35.94,35.11,34.07,33.23,32.46,31.79,29.49,29.58,29.7,28.47,27.22,26.84,25.44,24.42,23.99,23.63,,
LSO,employment_agri_male,63.1,62.81,62.63,62.32,62.12,61.75,61.48,61.34,61.23,60.67,60.0,59.52,58.62,57.99,57.18,56.27,55.36,54.26,53.66,53.19,52.26,51.25,50.5,49.88,49.28,48.48,48.34,48.09,47.65,,
LTU,employment_agri_male,26.53,26.73,26.72,26.04,25.16,24.48,23.16,22.43,24.0,23.41,22.27,22.25,21.81,18.93,16.93,16.17,13.98,10.19,11.53,11.44,10.67,11.42,10.83,11.69,11.61,10.53,10.28,9.73,8.77,,
LUX,employment_agri_male,3.83,3.69,3.5,3.37,4.1,3.23,3.0,3.66,2.27,3.07,1.85,2.61,3.33,2.29,2.2,2.3,2.38,2.04,1.73,1.38,1.55,1.67,2.11,1.89,1.29,1.37,1.97,1.55,0.9,,
LVA,employment_agri_male,22.31,22.77,21.93,21.6,20.52,20.5,23.88,21.28,19.63,16.67,18.52,20.23,18.21,16.48,15.87,14.33,12.45,10.11,11.52,11.78,12.63,11.98,11.26,10.55,10.87,10.41,9.58,9.99,10.29,,
MAR,employment_agri_male,43.07,43.14,43.18,42.73,42.93,42.29,42.24,41.68,41.52,41.26,40.41,40.18,39.36,40.54,39.66,36.83,35.93,34.94,34.09,33.17,32.26,32.04,31.29,30.73,30.06,29.64,28.9,28.1,27.36,,
MCO,employment_agri_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,employment_agri_male,43.39,42.03,45.42,48.41,46.34,44.13,43.13,47.03,50.4,51.95,51.72,50.68,44.34,40.95,41.15,35.25,35.47,33.69,31.42,30.54,30.84,29.65,32.14,34.23,38.51,37.07,36.6,28.39,24.98,,
MDG,employment_agri_male,74.43,74.49,74.55,74.8,74.71,74.76,74.86,74.93,75.04,75.36,75.72,76.63,76.7,79.13,81.46,80.2,78.84,77.36,76.46,75.02,73.48,71.67,70.9,70.34,69.87,69.33,68.94,68.53,68.11,,
MDV,employment_agri_male,25.52,25.58,25.64,25.6,25.56,25.37,25.03,24.71,24.38,24.13,24.17,23.41,22.22,21.74,22.19,20.9,20.12,19.24,18.6,17.45,16.28,15.36,14.3,13.27,12.33,11.41,10.94,10.38,9.97,,
MEX,employment_agri_male,26.44,26.34,26.26,26.06,26.21,25.77,25.51,24.97,23.83,22.79,23.19,22.52,21.74,21.01,20.35,19.65,19.02,19.06,19.59,19.76,19.42,19.47,19.53,19.71,19.23,18.79,18.66,18.37,17.85,,
MHL,employment_agri_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKD,employment_agri_male,25.15,25.6,25.36,25.45,25.59,25.48,25.29,24.96,24.4,23.82,23.7,23.43,21.94,21.39,20.7,20.0,18.87,18.96,18.93,18.79,18.72,17.13,17.71,18.45,18.11,17.19,16.48,16.34,14.49,,
MLI,employment_agri_male,72.87,72.84,72.82,72.63,72.55,72.36,72.13,71.81,71.57,71.35,70.65,70.47,69.87,69.8,69.58,69.13,69.03,68.91,68.61,68.35,68.08,68.22,67.93,67.12,62.52,66.16,63.9,62.64,62.33,,
MLT,employment_agri_male,3.11,3.07,3.02,2.96,2.89,2.83,2.8,2.74,2.68,2.59,3.0,3.09,3.26,2.95,2.78,2.69,2.44,2.41,1.98,1.81,1.58,1.43,1.74,1.79,2.02,1.61,1.38,1.38,1.4,,
MMR,employment_agri_male,75.33,74.32,73.9,73.62,71.76,70.38,68.78,68.19,67.53,66.0,65.04,63.54,61.71,60.43,59.38,58.11,57.39,56.36,55.51,55.12,54.71,54.37,54.01,53.58,52.81,53.5,54.07,51.97,53.21,,
MNE,employment_agri_male,11.92,12.23,12.74,12.67,12.3,11.79,11.48,11.22,11.45,11.16,10.91,10.83,10.84,9.63,8.5,8.76,9.04,8.16,7.76,7.03,6.4,5.73,6.17,6.56,7.35,8.02,8.71,8.61,7.57,,
MNG,employment_agri_male,44.38,45.49,45.9,45.79,47.11,47.87,50.17,50.67,50.54,50.53,50.04,47.26,48.19,42.64,42.77,41.77,42.81,41.88,41.17,34.7,33.5,35.81,31.08,29.48,29.72,32.43,31.06,28.47,27.0,,
MOZ,employment_agri_male,73.86,73.94,73.8,73.56,73.51,73.06,72.48,71.86,71.12,70.78,69.87,69.59,68.93,68.35,67.88,67.21,66.56,66.06,65.55,64.9,64.16,63.43,62.69,62.02,61.26,60.8,60.51,60.1,59.82,,
MRT,employment_agri_male,44.31,44.25,44.04,44.16,43.75,43.47,43.65,43.45,43.17,43.44,43.41,43.17,42.52,41.99,41.17,39.87,39.86,39.71,39.54,39.16,38.68,38.18,37.7,37.21,36.65,36.36,35.89,35.53,34.85,,
MUS,employment_agri_male,15.65,15.18,14.91,14.67,15.34,13.91,13.59,12.96,12.42,12.74,12.13,11.72,12.85,10.97,10.54,10.55,10.21,9.9,9.51,9.21,8.49,8.37,8.23,8.08,7.95,7.79,7.65,7.5,7.23,,
MWI,employment_agri_male,75.01,75.0,75.06,74.71,74.56,74.48,74.33,74.33,74.39,74.5,74.78,74.78,74.5,74.34,74.18,73.86,73.29,73.12,72.85,72.55,72.37,72.38,72.21,71.96,71.78,71.64,71.48,71.29,71.08,,
MYS,employment_agri_male,23.56,22.71,22.21,21.97,21.63,20.62,18.94,20.83,21.03,20.71,16.83,16.74,16.08,16.78,17.08,17.14,17.33,16.5,16.08,15.9,14.49,15.93,15.4,15.34,15.26,14.16,14.14,13.45,12.99,,
NAM,employment_agri_male,44.93,43.04,42.27,41.82,40.4,39.08,37.75,36.17,34.57,33.0,33.28,33.6,33.79,33.79,33.48,32.45,31.44,30.68,30.33,29.59,28.78,28.05,31.92,28.41,25.11,21.99,23.15,24.12,23.62,,
NER,employment_agri_male,76.92,76.97,77.03,77.02,77.06,77.18,77.2,77.24,77.35,77.41,77.44,77.42,77.42,77.36,77.28,77.15,77.0,76.87,76.67,76.48,76.35,75.87,75.61,75.46,75.32,75.29,75.13,75.02,74.79,,
NGA,employment_agri_male,54.48,54.34,54.48,54.6,54.65,54.46,54.32,54.2,54.19,53.76,53.25,52.15,51.41,50.37,50.23,50.05,49.77,49.41,48.91,48.31,47.77,47.3,46.68,45.82,45.39,45.3,45.06,44.8,44.48,,
NIC,employment_agri_male,45.26,45.05,44.85,44.43,44.03,43.73,43.35,43.05,42.19,42.13,41.74,41.8,41.57,41.15,40.74,41.62,42.2,41.17,41.92,42.9,43.86,44.06,44.5,44.92,44.59,43.99,43.54,44.06,44.65,,
NLD,employment_agri_male,5.16,5.1,5.0,4.98,4.9,4.82,4.63,4.25,3.9,3.96,3.65,3.63,3.85,4.25,4.75,4.74,4.44,4.19,4.12,4.08,3.75,3.68,2.82,3.04,3.01,3.01,2.96,2.79,2.68,,
NOR,employment_agri_male,7.66,7.33,7.37,7.04,7.3,7.32,7.08,6.61,6.47,6.02,5.79,5.72,5.36,5.25,4.83,4.81,4.26,3.9,4.08,3.93,3.71,3.48,3.36,3.36,2.99,3.09,3.07,3.01,2.93,,
NPL,employment_agri_male,74.79,74.68,74.4,73.83,73.14,72.14,70.86,69.33,67.43,66.37,65.56,65.2,64.52,63.9,63.38,62.85,62.36,61.57,61.01,60.4,59.71,58.55,57.4,56.13,55.21,54.93,53.79,52.89,52.11,,
NRU,employment_agri_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
