area,short names,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CYP,employment_agri_female,14.15,13.17,12.51,10.87,10.49,9.04,7.75,6.54,5.49,4.61,3.93,4.21,3.88,4.0,3.44,2.88,2.36,2.68,2.97,2.49,2.36,1.85,1.68,2.06,2.07,1.64,1.08,1.02,1.28,,
CZE,employment_agri_female,6.78,6.59,6.25,5.69,5.45,4.84,4.32,4.15,3.9,3.8,3.38,3.46,3.21,3.19,2.82,2.79,2.53,2.31,2.22,1.92,1.87,1.93,2.07,1.64,1.64,1.72,1.79,1.77,1.74,,
DEU,employment_agri_female,3.39,3.28,3.2,3.11,3.03,2.6,2.55,2.34,2.35,2.11,2.07,1.96,1.83,1.7,1.73,1.6,1.61,1.32,1.25,1.2,1.18,1.1,1.01,1.01,0.96,0.89,0.88,0.85,0.83,,
DJI,employment_agri_female,44.79,44.53,44.25,43.91,43.56,43.17,42.74,42.23,41.61,40.9,40.05,39.14,38.22,37.29,36.31,35.3,34.25,33.2,32.23,31.22,30.14,29.15,28.16,27.11,26.08,25.07,24.11,23.11,22.14,,
DMA,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,employment_agri_female,2.88,2.74,2.61,2.58,2.52,2.07,1.66,1.78,1.45,1.96,1.71,1.63,1.76,1.87,1.61,1.46,1.57,1.23,1.22,0.93,0.86,1.07,1.01,0.87,1.0,0.91,0.94,0.96,1.11,,
DOM,employment_agri_female,3.59,3.59,3.57,3.48,3.48,3.58,2.31,2.43,2.88,2.48,1.73,1.75,1.48,1.79,2.58,1.96,1.79,2.65,1.8,2.16,1.96,1.62,1.56,2.31,1.47,1.14,1.3,1.52,1.39,,
DZA,employment_agri_female,14.88,14.66,14.55,14.45,14.31,14.03,14.01,13.39,13.3,13.55,13.04,12.34,11.61,10.07,8.86,7.49,6.27,5.33,4.2,3.52,2.96,3.17,3.32,3.46,3.57,3.7,3.84,3.58,3.38,,
ECU,employment_agri_female,23.37,23.61,22.93,22.99,22.96,23.15,23.01,23.5,23.72,24.48,25.21,24.23,23.11,26.06,25.32,25.05,22.67,21.61,21.93,20.88,20.87,21.07,20.71,20.1,22.56,23.82,24.77,26.11,27.14,,
EGY,employment_agri_female,53.63,52.53,46.47,47.0,42.48,41.53,40.52,35.34,31.92,39.41,31.91,27.57,39.07,46.78,46.66,43.33,46.56,45.62,46.07,42.87,43.37,37.59,42.87,43.22,40.2,38.39,36.9,21.69,21.21,,
ERI,employment_agri_female,79.04,78.57,78.36,77.76,77.5,77.06,76.54,75.7,75.49,75.89,75.12,75.28,75.29,75.25,74.18,73.96,73.74,74.52,74.22,73.4,72.68,72.16,72.26,70.78,71.24,70.27,70.41,69.12,68.35,,
ESP,employment_agri_female,8.55,8.28,8.07,7.43,7.12,6.12,5.84,5.32,5.05,4.77,4.5,3.98,3.9,3.66,3.52,3.27,2.95,2.57,2.45,2.44,2.39,2.41,2.24,2.24,2.11,2.14,2.27,2.17,2.04,,
EST,employment_agri_female,13.98,13.21,11.51,10.3,7.75,7.2,7.0,6.5,6.5,4.42,2.97,4.12,3.8,2.71,3.22,3.18,3.06,2.41,2.61,2.81,2.46,2.52,2.26,2.24,2.51,1.99,1.92,1.65,1.51,,
ETH,employment_agri_female,67.16,67.29,67.0,67.11,66.95,66.55,66.46,67.04,67.08,68.23,69.28,70.76,72.23,72.57,73.41,72.58,71.67,70.45,69.38,68.23,66.87,65.23,63.58,62.76,61.94,61.1,60.28,59.75,58.71,,
EUU,employment_agri_female,10.718,10.807,10.593,10.491,10.262,9.487,9.587,9.219,8.927,8.5,8.207,7.241,6.832,6.193,6.0,5.655,5.378,5.036,4.953,4.889,4.653,4.521,4.292,4.114,3.848,3.533,3.455,3.315,3.178,,
FIN,employment_agri_female,6.05,5.94,5.8,5.59,5.3,5.7,5.32,4.62,4.38,3.9,3.78,3.73,3.43,3.01,2.92,2.8,2.59,2.69,2.85,2.77,2.41,2.32,2.26,2.32,2.2,2.09,2.15,2.07,2.07,,
FJI,employment_agri_female,27.29,27.03,26.79,26.45,26.15,25.76,25.51,25.06,24.32,23.93,23.46,22.76,22.13,21.59,21.1,19.93,18.83,17.86,16.85,15.82,14.75,13.51,12.32,11.26,10.18,9.2,8.88,8.54,8.21,,
FRA,employment_agri_female,4.95,4.67,4.46,3.95,3.73,3.53,3.36,3.09,2.99,2.85,2.84,2.79,2.69,2.65,2.29,2.24,2.16,1.85,1.89,1.78,1.89,1.85,1.86,1.66,1.61,1.62,1.57,1.38,1.49,,
FSM,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,employment_agri_female,63.72,63.2,62.62,61.98,61.61,61.22,60.54,59.88,59.42,59.17,58.46,57.78,57.03,56.51,55.93,55.38,54.63,54.33,53.56,53.24,52.61,51.87,51.12,50.26,49.28,48.34,47.52,46.8,45.76,,
GBR,employment_agri_female,1.19,1.14,1.08,1.16,1.23,1.16,1.06,0.92,0.76,0.77,0.68,0.69,0.58,0.6,0.73,0.67,0.75,0.73,0.55,0.61,0.66,0.69,0.6,0.71,0.65,0.63,0.65,0.62,0.58,,
GEO,employment_agri_female,49.2,46.39,44.7,45.18,47.63,49.96,50.4,50.97,54.14,57.77,52.8,55.29,56.84,56.5,57.21,57.36,56.58,54.38,52.12,49.99,52.06,50.91,50.36,49.05,47.11,45.66,45.65,41.28,40.09,,
GHA,employment_agri_female,52.15,51.93,51.62,51.37,51.07,50.78,50.46,50.07,49.66,49.93,50.13,50.31,50.47,50.62,50.75,50.87,49.79,48.53,47.29,45.9,44.37,42.95,41.49,34.49,27.45,26.3,25.08,23.45,22.1,,
GIN,employment_agri_female,78.36,78.26,78.06,77.68,77.28,76.99,76.65,76.33,75.9,75.55,74.97,74.25,74.3,73.67,73.12,72.6,71.66,71.04,70.73,69.93,69.19,68.26,67.47,66.75,65.94,64.78,63.58,62.67,61.8,,
GMB,employment_agri_female,51.2,51.05,50.83,50.5,50.09,49.89,49.15,48.68,47.52,46.6,45.54,45.43,44.12,42.84,42.5,42.58,41.98,40.48,39.27,38.05,38.81,37.89,37.23,37.11,36.29,35.67,34.83,33.85,33.07,,
GNB,employment_agri_female,76.26,76.06,75.75,75.53,75.32,74.84,75.17,75.52,75.2,74.89,74.87,74.37,74.14,73.74,73.11,72.85,72.34,71.61,71.28,70.6,69.83,69.44,69.1,68.86,67.63,66.85,65.82,65.3,64.14,,
GNQ,employment_agri_female,50.78,50.42,50.01,49.24,48.35,47.9,47.57,47.06,46.45,45.3,45.29,44.93,44.37,44.27,44.19,43.8,43.55,43.62,43.45,43.07,43.15,43.54,43.45,43.57,43.48,43.35,43.24,42.61,42.5,,
GRC,employment_agri_female,26.5,25.93,25.34,24.88,23.93,23.95,23.15,20.43,19.79,19.65,17.41,16.96,16.57,13.88,13.53,12.87,12.13,11.62,11.86,12.59,12.64,12.95,13.45,12.99,12.36,11.75,11.48,11.73,10.6,,
GRD,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,employment_agri_female,17.38,17.29,17.15,16.97,16.86,16.74,16.47,16.16,17.14,18.16,16.62,15.96,15.02,13.79,14.51,15.2,14.68,14.22,13.93,13.49,12.85,12.49,9.62,11.16,9.81,9.32,10.14,10.05,9.78,,
GUY,employment_agri_female,19.66,18.74,19.44,18.58,17.4,17.09,16.57,14.98,12.25,10.88,8.98,7.33,7.11,7.11,7.76,8.53,8.72,8.52,8.72,9.04,8.81,8.85,8.32,8.15,7.87,8.39,8.24,8.21,7.88,,
HND,employment_agri_female,6.89,6.82,6.74,6.68,7.36,8.03,7.32,8.02,8.74,7.91,7.24,9.3,8.72,7.31,8.41,10.93,9.39,9.84,11.11,11.91,9.05,10.69,9.54,8.9,7.46,7.87,9.21,10.56,8.27,,
HRV,employment_agri_female,24.18,24.22,23.98,23.15,22.27,21.21,19.04,18.25,17.62,16.83,15.92,15.19,17.61,18.16,18.9,14.95,13.57,14.0,14.17,15.49,15.38,12.17,9.89,7.98,7.43,5.55,5.13,5.07,4.43,,
HTI,employment_agri_female,23.9,23.88,23.85,23.91,23.65,23.53,23.21,22.98,22.58,22.09,21.66,21.2,20.71,20.41,19.85,19.37,18.87,18.33,17.74,17.03,16.63,15.98,15.48,15.04,14.66,14.19,13.74,13.32,13.1,,
HUN,employment_agri_female,7.88,7.65,5.88,5.43,4.65,4.28,4.26,3.88,3.65,3.34,3.42,3.69,2.66,2.67,2.64,2.62,2.28,2.31,2.59,2.31,2.64,2.8,2.61,2.64,2.65,2.84,2.84,2.72,2.84,,
IDN,employment_agri_female,57.04,56.78,53.4,49.7,43.9,43.88,43.91,45.64,46.32,46.74,44.52,45.4,47.54,44.62,44.38,41.13,41.4,41.36,39.94,38.4,36.79,35.27,33.91,33.37,32.61,30.07,28.82,27.52,26.36,,
IND,employment_agri_female,76.17,75.96,75.72,75.46,75.3,75.15,74.98,74.79,74.61,74.39,73.8,73.19,72.52,71.76,71.05,70.34,69.58,68.82,67.93,66.98,63.56,59.96,59.36,58.67,57.93,57.15,56.35,55.53,54.69,,
IRL,employment_agri_female,4.17,4.07,3.98,3.72,3.61,3.77,3.5,2.71,2.45,2.18,1.89,1.72,1.81,1.44,1.3,1.33,1.55,1.67,1.72,1.9,1.66,1.64,1.7,1.74,1.6,1.54,1.56,1.46,1.21,,
IRN,employment_agri_female,17.83,17.75,17.93,17.66,17.04,17.14,18.8,19.93,21.9,23.87,25.65,27.74,29.85,31.76,33.59,30.87,33.07,30.69,30.5,27.96,27.18,24.96,23.23,21.82,22.82,21.97,21.33,19.69,18.79,,
IRQ,employment_agri_female,23.4,23.03,22.91,22.68,22.58,22.66,23.39,23.06,24.23,24.48,23.23,21.82,21.56,21.18,20.82,20.94,20.48,20.33,19.27,18.8,18.6,18.55,18.01,17.43,17.08,17.02,16.04,15.58,15.05,,
ISL,employment_agri_female,5.12,4.49,4.38,4.22,4.37,4.93,4.24,4.95,4.75,4.28,3.39,3.45,2.94,2.73,3.06,2.86,2.51,2.26,2.12,2.23,1.91,2.14,2.45,1.98,1.75,2.18,1.96,1.23,1.4,,
ISR,employment_agri_female,1.97,2.01,3.51,1.84,1.74,1.65,1.55,1.46,1.38,1.3,1.22,1.14,1.07,1.0,0.93,0.87,0.81,0.75,0.71,0.66,0.61,0.57,0.68,0.59,0.6,0.56,0.5,0.49,0.46,,
ITA,employment_agri_female,8.89,8.55,7.2,6.83,6.4,5.61,5.22,5.07,4.52,4.35,4.37,3.93,3.69,3.16,3.26,3.32,3.06,2.83,2.67,2.72,2.64,2.58,2.44,2.41,2.44,2.52,2.35,2.4,2.38,,
